59.166.0.2,149.171.126.8,tcp,FIN,-,45831,51506,18,18,1421943024,1421943024,-,0
59.166.0.5,149.171.126.9,udp,CON,dns,29147,53,2,2,1421952970,1421952970,-,0
59.166.0.8,149.171.126.3,tcp,FIN,smtp,5861,25,52,40,1421937437,1421937437,-,0
59.166.0.8,149.171.126.9,tcp,FIN,-,43920,20110,48,50,1421929438,1421929438,-,0
59.166.0.5,149.171.126.8,tcp,FIN,-,3182,51834,56,58,1421932963,1421932963,Exploits,1
59.166.0.2,149.171.126.7,tcp,FIN,-,22201,61083,8,12,1421945114,1421945115,-,0
59.166.0.4,149.171.126.5,udp,CON,dns,45279,53,2,2,1421938916,1421936460,-,0
59.166.0.0,149.171.126.2,udp,CON,dns,2011,53,2,2,1421927686,1421927686,-,0
59.166.0.0,149.171.126.9,tcp,FIN,-,19818,5190,22,24,1421939180,1421939180,-,0
59.166.0.3,149.171.126.2,tcp,FIN,-,28660,143,122,126,1421942328,1421944758,-,0
59.166.0.8,149.171.126.6,udp,CON,-,30569,23631,4,4,1421927559,1421927559,-,0
175.45.176.1,149.171.126.14,tcp,FIN,-,41593,179,10,6,1421933303,1421933303,-,0
59.166.0.5,149.171.126.9,tcp,FIN,http,37796,80,324,746,1421936035,1421936035,-,0
59.166.0.8,149.171.126.9,tcp,FIN,-,17384,6881,16,18,1421948317,1421948317,-,0
175.45.176.1,149.171.126.18,udp,INT,dns,1043,53,2,0,1421931261,1421931261,Generic,1
59.166.0.6,149.171.126.7,tcp,FIN,-,22593,6881,16,18,1421935406,1421935406,-,0
59.166.0.3,149.171.126.5,udp,CON,dns,44629,53,2,2,1421938831,1421939712,-,0
59.166.0.5,149.171.126.9,tcp,FIN,-,6890,5190,22,24,1421932610,1421932611,-,0
59.166.0.3,149.171.126.3,tcp,FIN,ftp,31210,21,52,54,1421935773,1421935776,-,0
59.166.0.9,149.171.126.2,tcp,FIN,ftp-data,17312,2627,6,8,1421945396,1421945396,-,0
59.166.0.5,149.171.126.8,tcp,FIN,http,2574,80,14,18,1421929649,1421929650,-,0
59.166.0.3,149.171.126.7,tcp,FIN,-,63131,6881,432,297,1421953334,1421942045,-,0
175.45.176.1,149.171.126.18,udp,INT,dns,47439,53,2,0,1421945568,1421933091,Generic,1
59.166.0.5,149.171.126.9,tcp,FIN,-,62437,5063,78,80,1421944185,1421944185,-,0
10.40.182.1,224.0.0.5,ospf,REQ,-,0,0,6,0,1421946799,1421946849,-,0
59.166.0.6,149.171.126.2,tcp,FIN,smtp,43934,25,52,42,1421953668,1421953668,-,0
